,present_products,all_products,all_variants
13,Điện thoại iPhone 16 Plus 128GB,"['Điện thoại iPhone 16 Plus 128GB', 'Điện thoại iPhone 16 Plus 256GB', 'Điện thoại iPhone 16 Plus 512GB']","['128GB', '256GB', '512GB']"
14,Điện thoại iPhone 16 128GB,"['Điện thoại iPhone 16 128GB', 'Điện thoại iPhone 16 256GB', 'Điện thoại iPhone 16 512GB']","['128GB', '256GB', '512GB']"
15,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,"['Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB', 'Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/512GB']","['256GB', '512GB']"
16,Điện thoại Samsung Galaxy A16 5G 8GB/128GB,"['Điện thoại Samsung Galaxy A16 5G 8GB/128GB', 'Điện thoại Samsung Galaxy A16 5G 8GB/256GB']","['128GB', '256GB']"
17,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,['Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB'],[None]
18,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,['Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB'],[None]
19,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,['Điện thoại OPPO Reno13 Pro 5G 12GB/512GB'],[None]
20,Điện thoại OPPO Reno13 F 8GB/256GB,['Điện thoại OPPO Reno13 F 8GB/256GB'],[None]
21,Điện thoại realme Note 60x 3GB/64GB,"['Điện thoại realme Note 60x 3GB/64GB', 'Điện thoại realme Note 60x 4GB/64GB']","['3GB', '4GB']"
22,Điện thoại vivo Y28 8GB/128GB,"['Điện thoại vivo Y28 8GB/128GB', 'Điện thoại vivo Y28 8GB/256GB']","['128GB', '256GB']"
23,Điện thoại HONOR X5b 4GB/64GB,"['Điện thoại HONOR X5b 4GB/64GB', 'Điện thoại HONOR X5b Plus 4GB/128GB']","['X5b', 'X5b Plus']"
